# C059-Roman | AVATAR
34 626 0
55 626 0
34 690 0
53 635 0
34 722 0
51 722 0
# C059-Roman | Wave To Yo.
56 911 0
66 525 0
87 513 0
70 500 0
1 278 0
53 640 0
80 500 0
1 278 0
58 620 0
80 486 0
15 278 0
# C059-Roman | office fluffy waffle
80 500 0
231 903 0
68 444 0
70 500 0
1 278 0
110 611 0
86 611 0
230 628 0
90 537 0
1 278 0
88 758 0
66 556 0
232 903 0
70 500 0
# C059-Roman | VA Ta We Yo
55 626 0
34 722 0
1 278 0
53 646 0
66 556 0
1 278 0
56 920 0
70 500 0
1 278 0
58 620 0
80 500 0
# C059-Roman | The quick brown fox.
53 682 0
73 611 0
70 500 0
1 278 0
82 543 0
86 611 0
74 315 0
68 432 0
76 593 0
1 278 0
67 556 0
83 439 0
80 474 0
88 778 0
79 611 0
1 278 0
71 307 0
80 474 0
89 535 0
15 278 0
# C059-Roman | affluent affix
66 556 0
232 903 0
86 611 0
70 500 0
79 611 0
85 389 0
1 278 0
66 556 0
231 903 0
89 537 0
# C059-Roman | 1/2 = .5
18 556 0
16 278 0
19 556 0
1 278 0
30 606 0
1 278 0
15 278 0
22 556 0
# DejaVuSans | AVATAR
36 1270 0
57 1270 0
36 1242 0
55 1092 0
36 1401 0
53 1423 0
# DejaVuSans | Wave To Yo.
58 1894 0
68 1255 0
89 1212 0
72 1260 0
3 651 0
55 903 0
82 1253 0
3 651 0
60 979 0
82 1217 0
17 651 0
# DejaVuSans | office fluffy waffle
82 1253 0
5041 1980 0
70 1126 0
72 1260 0
3 651 0
5040 1290 0
88 1298 0
5038 1411 0
92 1212 0
3 651 0
90 1675 0
68 1255 0
5042 1980 0
72 1260 0
# DejaVuSans | VA Ta We Yo
57 1270 0
36 1401 0
3 651 0
55 912 0
68 1255 0
3 651 0
58 1905 0
72 1260 0
3 651 0
60 979 0
82 1253 0
# DejaVuSans | The quick brown fox.
55 1251 0
75 1298 0
72 1260 0
3 651 0
84 1300 0
88 1298 0
76 569 0
70 1126 0
78 1186 0
3 651 0
69 1300 0
85 797 0
82 1253 0
90 1675 0
81 1298 0
3 651 0
73 721 0
82 1190 0
91 1212 0
17 651 0
# DejaVuSans | affluent affix
68 1255 0
5042 1980 0
88 1298 0
72 1260 0
81 1298 0
87 803 0
3 651 0
68 1255 0
5041 1980 0
91 1212 0
# DejaVuSans | 1/2 = .5
20 1303 0
18 690 0
21 1303 0
3 651 0
32 1716 0
3 651 0
17 651 0
24 1303 0
# DejaVuSansMono | AVATAR
36 1233 0
57 1233 0
36 1233 0
55 1233 0
36 1233 0
53 1233 0
# DejaVuSansMono | Wave To Yo.
58 1233 0
68 1233 0
89 1233 0
72 1233 0
3 1233 0
55 1233 0
82 1233 0
3 1233 0
60 1233 0
82 1233 0
17 1233 0
# DejaVuSansMono | office fluffy waffle
82 1233 0
73 1233 0
73 1233 0
76 1233 0
70 1233 0
72 1233 0
3 1233 0
73 1233 0
79 1233 0
88 1233 0
73 1233 0
73 1233 0
92 1233 0
3 1233 0
90 1233 0
68 1233 0
73 1233 0
73 1233 0
79 1233 0
72 1233 0
# DejaVuSansMono | VA Ta We Yo
57 1233 0
36 1233 0
3 1233 0
55 1233 0
68 1233 0
3 1233 0
58 1233 0
72 1233 0
3 1233 0
60 1233 0
82 1233 0
# DejaVuSansMono | The quick brown fox.
55 1233 0
75 1233 0
72 1233 0
3 1233 0
84 1233 0
88 1233 0
76 1233 0
70 1233 0
78 1233 0
3 1233 0
69 1233 0
85 1233 0
82 1233 0
90 1233 0
81 1233 0
3 1233 0
73 1233 0
82 1233 0
91 1233 0
17 1233 0
# DejaVuSansMono | affluent affix
68 1233 0
73 1233 0
73 1233 0
79 1233 0
88 1233 0
72 1233 0
81 1233 0
87 1233 0
3 1233 0
68 1233 0
73 1233 0
73 1233 0
76 1233 0
91 1233 0
# DejaVuSansMono | 1/2 = .5
20 1233 0
18 1233 0
21 1233 0
3 1233 0
32 1233 0
3 1233 0
17 1233 0
24 1233 0
# NimbusSans-Regular | AVATAR
34 596 0
55 599 0
34 574 0
53 515 0
34 667 0
51 722 0
# NimbusSans-Regular | Wave To Yo.
56 907 0
66 536 0
87 480 0
70 556 0
1 278 0
53 520 0
80 556 0
1 278 0
58 582 0
80 531 0
15 278 0
# NimbusSans-Regular | office fluffy waffle
80 556 0
231 778 0
68 506 0
70 556 0
1 278 0
110 500 0
86 556 0
230 556 0
90 500 0
1 278 0
88 708 0
66 556 0
232 778 0
70 556 0
# NimbusSans-Regular | VA Ta We Yo
55 599 0
34 667 0
1 278 0
53 512 0
66 556 0
1 278 0
56 915 0
70 556 0
1 278 0
58 582 0
80 556 0
# NimbusSans-Regular | The quick brown fox.
53 606 0
73 556 0
70 556 0
1 278 0
82 556 0
86 556 0
74 222 0
68 506 0
76 500 0
1 278 0
67 556 0
83 327 0
80 544 0
88 722 0
79 556 0
1 278 0
71 268 0
80 529 0
89 480 0
15 278 0
# NimbusSans-Regular | affluent affix
66 556 0
232 778 0
86 556 0
70 556 0
79 556 0
85 278 0
1 278 0
66 556 0
231 778 0
89 500 0
# NimbusSans-Regular | 1/2 = .5
18 556 0
16 278 0
19 556 0
1 278 0
30 584 0
1 278 0
15 278 0
22 556 0
